word,cat,A_M,A_SD,V_M,V_SD
adorn,verb,5.38,2.54,7,1.72,
Billie Jean Moffitt King,noun,5.51,2.77,7.26,1.67,
beatific,adj,5.43,2.85,7.47,1.45,
dismiss,verb,7.17,2.06,3.22,2.06,
roughness,noun,4.07,2.15,4.64,1.36,
unadaptable,adj,4.66,2.47,3.66,2.12,
founding father,noun,5.92,2.6,7.08,2.2,
adhere,verb,4.07,1.98,3.55,1.7,
nest,verb,4.4,2.67,7.72,1.92,
set-aside,adj,3.27,2.05,4.88,1.83,
jubilancy,noun,5.78,2.6,7.8,1.83,
bobfloat,noun,3.8,2.18,5.22,1.13,
erectile organ,noun,5.54,2.63,5.9,1.72,
rich,adj,4.81,2.8,2.28,1.92,
imaginativeness,noun,4.53,2.72,6.73,1.75,
protective cover,noun,4.39,2.36,3.05,1.99,
sacrilege,noun,4.93,2.34,3.75,2.26,
appreciate,verb,6.75,2.3,8.27,0.9,
ungainly,adj,5.18,2.4,4,2.22,
Elwyn Brooks White,noun,4.37,2.14,6.47,1.59,
think of,verb,5,2.68,6.68,1.84,
observance,noun,5,2.68,6.68,1.84,
bemused,adj,5.82,2.62,2.82,1.83,
fight off,verb,7.15,2.19,3.76,2.63,
plant organ,noun,4.76,2.4,5.67,1.91,
presentiment,noun,4.3,2.26,4.35,1.23,
Virgin,noun,5.51,2.06,6.45,1.76,
come in,verb,3.36,2.12,4.82,1.23,
shriek,noun,7.04,1.96,3.88,2.07,
dopey,adj,4.72,2.71,2.31,1.37,
human action,noun,4.14,2.3,2.93,1.76,
herbaceous plant,noun,4.83,2.9,3.28,2.16,
disunite,verb,6.33,2.71,2.22,1.88,
regurgitation,noun,5.75,2.84,2.06,1.57,
save,verb,4.54,1.86,6.46,1.52,
yesteryear,noun,3.93,2.29,5.24,2.01,
biserrate,adj,5.33,2.04,4.74,2,
squander,verb,6.22,1.91,2.73,1.72,
constitute,verb,4.25,2.47,5.55,2.24,
buttery,adj,4.81,2.8,2.28,1.92,
carrying into action,noun,5.71,2.74,2.37,2.06,
building complex,noun,3.62,2.25,5.98,1.83,
point in time,noun,3.98,1.82,5.17,0.79,
season,verb,5.59,2.66,6.79,2.04,
health problem,noun,5.03,2.77,1.66,1.34,
bum,adj,3.83,2.05,3.07,1.57,
dick,noun,4.33,1.78,5.19,1.27,
smoke,noun,5.33,2.48,3.29,2.06,
Whitney Moore Young Jr.,noun,5.64,2.51,6.89,2.12,
imitation,adj,3.43,2.09,3.27,1.4,
pander,verb,5.5,2.91,8.56,0.81,
lead on,verb,7.24,2.06,1.68,1.02,
stretch,verb,3.42,2.21,6.32,1.56,
injured,adj,5,2.32,3.64,2.08,
illegitimate child,noun,6.07,2.15,3.36,2.16,
bring up,verb,4.25,2.47,5.55,2.24,
alphabetic character,noun,5.78,2.21,2.8,1.67,
piece,noun,6.27,1.94,4.37,2.75,
adapt,verb,3.18,1.76,4.74,1.02,
insensate,adj,5.19,2.23,4.02,1.99,
pedagogy,noun,5.74,2.46,6.69,1.77,
purloin,verb,4.59,2.1,3.83,1.7,
musical theme,noun,5.86,1.81,7,1.34,
festive,adj,5.9,2.42,7.9,1.49,
dark-skinned,adj,4.28,2.21,4.71,2.36,
top,noun,4.28,2.53,6.58,1.42,
physicist,noun,5.64,2.51,6.89,2.12,
skunk,noun,4.95,2.36,3.02,1.66,
slosh,verb,3.73,2.23,4.66,1.88,
surd,adj,5.12,2.19,5.22,1.82,
heap,verb,3.54,2.09,5.1,1.09,
junkie,noun,5.66,2.26,2.48,2.08,
qat,noun,4.38,2.24,5.72,2.43,
undyed,adj,4.09,2.37,6.59,1.57,
orchis,noun,3.76,2.39,5.29,1.82,
epicene,adj,5.17,2.57,3.14,1.96,
adynamic,adj,3.93,1.94,4.15,1.57,
turn on,verb,7.36,1.91,8.05,1.53,
concealing,noun,5.08,2.4,2.05,1.41,
butterfly,verb,6.91,1.69,7.52,1.19,
equipotent,adj,4.02,2.41,4.68,1.97,
rise,noun,4.7,2.48,4.09,2.21,
coney,noun,4.06,2.61,7.24,1.32,
enviousness,noun,6.36,2.66,2.51,1.83,
leporid,noun,4.02,2.19,6.57,1.92,
sphacelus,noun,5.7,2.96,2.28,1.91,
remove,verb,4.12,2.36,3.21,1.87,
alarum,noun,6.85,2.53,6.2,1.76,
appetence,noun,3.93,2.49,4.82,2.06,
split,verb,3.82,2.24,5.11,1.78,
defensive measure,noun,3.68,1.99,5.16,1.57,
request,verb,4.17,2.49,5.72,1.54,
cyprinid fish,noun,6.64,2.64,2.35,1.7,
envisage,verb,5.98,2.14,7.32,1.52,
cards,noun,6.51,2.12,6.81,1.66,
ichor,noun,4.82,2.06,2.86,1.91,
programme,noun,5.71,2.21,3.33,1.72,
scrap,noun,7.15,2.19,3.76,2.63,
quiet,adj,2.9,1.81,4.67,1.31,
blotto,adj,4.02,2.41,4.68,1.97,
reconcile,verb,3.7,2.18,5.68,1.62,
sentence,noun,6.02,2.62,7.27,1.88,
hopeless,adj,4.61,2.24,5.39,1.8,
sorcerous,adj,5.95,2.36,7.46,1.64,
governance,noun,3.59,2.07,4.61,1.4,
spunk,noun,6.34,2.25,7.39,1.53,
article of furniture,noun,2.92,2.16,5.22,0.72,
