영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
나우유씨미,0.02,0.01,0.02,0.1,0.06,0.03,0,0.06,0.01,0.01,0.01,0.01,0.03,0.21,0.07,0.06,0,0.02,0.08,0,0,0,0.01,0.06,0.02,0.02,0.02,0,0.01,0.01,0,0.02,0,0,0.01,0.02
나의PS파트너,0.04,0,0.05,0.15,0.08,0.01,0.01,0.07,0.09,0.02,0.04,0,0.01,0.03,0.06,0.04,0.01,0.06,0.05,0.01,0,0.02,0,0.05,0.01,0.01,0.03,0,0.01,0,0,0,0,0,0,0
나의결혼원정기,0.03,0,0.01,0.09,0.09,0,0.03,0.05,0.11,0.01,0.14,0.01,0.02,0.02,0.08,0.03,0,0.01,0.1,0.01,0,0.04,0.01,0.04,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0
나잇데이,0.04,0.02,0.1,0.17,0.11,0.06,0.01,0.06,0.01,0.01,0.01,0,0.01,0.01,0.07,0.08,0.01,0.02,0.06,0,0,0,0,0.04,0.01,0.01,0.02,0,0,0.01,0,0.01,0,0,0,0.03
남극일기,0,0,0,0.03,0,0.01,0,0.05,0.01,0,0.01,0.01,0.02,0.04,0.05,0.03,0,0.01,0.09,0,0.01,0.01,0.04,0.11,0.06,0.04,0.07,0,0.03,0.01,0.09,0.04,0.05,0.01,0.01,0.04
남자사용설명서,0.03,0.01,0.05,0.13,0.16,0.01,0.01,0.06,0.04,0.02,0.01,0.01,0.01,0.04,0.05,0.05,0.01,0.03,0.05,0.01,0,0.01,0,0.05,0.01,0.02,0.04,0,0.03,0.02,0,0,0,0,0,0
남쪽으로튀어,0.02,0,0.08,0.09,0.08,0.08,0.03,0.05,0.04,0.01,0.03,0.02,0.02,0.02,0.04,0.05,0.03,0.01,0.08,0.01,0,0.01,0.01,0.06,0.02,0.02,0.04,0,0.02,0.01,0,0,0,0,0,0
내가살인범이다,0.02,0,0.01,0.08,0.02,0.01,0,0.04,0.01,0,0.01,0.01,0.02,0.2,0.12,0.06,0.01,0.01,0.04,0,0,0.01,0,0.05,0.01,0.02,0.04,0,0.01,0.05,0,0.04,0.01,0,0.02,0.06
내깡패같은애인,0.03,0,0.02,0.15,0.08,0.01,0.06,0.08,0.06,0.02,0.1,0,0.01,0.02,0.08,0.05,0.01,0.02,0.02,0.01,0,0.03,0,0.04,0.01,0.01,0.02,0,0.02,0.01,0,0,0,0,0,0
내머리속의지우개,0.02,0,0,0.02,0,0,0.01,0.03,0.16,0.02,0.1,0,0.01,0.01,0.08,0.04,0,0.03,0.03,0.03,0,0.28,0.01,0.04,0.01,0,0.02,0,0.01,0,0,0,0,0,0,0
내사랑내곁에,0.01,0,0,0.02,0.01,0,0.02,0.04,0.07,0.02,0.1,0.01,0.03,0.02,0.06,0.02,0.01,0.04,0.07,0.02,0,0.22,0,0.09,0.04,0.02,0.02,0,0.01,0.02,0,0,0,0,0,0
내사랑싸가지,0.06,0,0.02,0.15,0.05,0,0,0.05,0.07,0,0.01,0,0.01,0.01,0.04,0.03,0,0.02,0.07,0.01,0,0.01,0.01,0.1,0.04,0.04,0.07,0.02,0.08,0.01,0,0,0,0,0,0
내생애가장아름다운일주일,0.03,0,0.01,0.09,0.06,0,0.09,0.05,0.14,0.01,0.16,0,0.01,0.02,0.07,0.02,0,0.01,0.05,0.01,0,0.07,0,0.04,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0
